Year,Code,1990,1995,2000,2005,2010,2015,2017
Afghanistan,AFG,6724681,3625571,4541159,3826255,4989209,4855376,4826464
Albania,ALB,179490,500353,823668,965066,1129071,1137917,1148144
Algeria,DZA,906030,965162,1025039,1588723,1630181,1785555,1792712
American Samoa,ASM,2041,2638,3186,2678,1975,2035,2037
Andorra,AND,3792,4193,5613,5762,7120,7589,7653
Angola,AGO,809942,668278,870514,680405,624284,611320,632699
Anguilla,AIA,2047,2567,3094,3058,2295,2290,2336
Antigua and Barbuda,ATG,21747,27677,33822,37506,41245,49030,50234
Argentina,ARG,430322,481201,554964,813610,943685,952965,977209
Armenia,ARM,899683,902479,876924,899820,921753,946246,951023
Aruba,ABW,10597,10748,11007,13036,14343,16862,17525
Australia,AUS,303406,343815,383959,428411,484511,520982,541616
Austria,AUT,505818,490466,475241,493066,515071,532718,586161
Azerbaijan,AZE,1634120,1713251,1629291,1447059,1177772,1145889,1155381
The Bahamas,BHS,25172,29690,34437,34753,35808,40340,41684
Bahrain,BHR,12767,25964,47711,52484,53756,56304,57749
Bangladesh,BGD,5451546,5424630,5435372,5765158,6742845,7246726,7499919
Barbados,BRB,84917,89923,95439,93641,94943,95023,98467
Belarus,BLR,1769029,1739629,1688476,1584067,1469332,1473782,1484875
Belgium,BEL,365414,376006,399911,438642,491812,541558,562626
Belize,BLZ,36114,41982,48160,51850,57314,61213,63233
Benin,BEN,233642,272881,319432,490875,528120,608559,627997
Bermuda,BMU,71703,42603,14085,14932,15848,15885,16496
Bhutan,BTN,28366,117872,120061,117860,86162,44041,43970
Bolivia,BOL,224687,283006,344199,544436,781490,795729,820722
Bosnia and Herzegovina,BIH,863399,1374109,1468799,1490861,1575669,1611438,1659852
Botswana,BWA,26037,23304,26393,30883,47041,76030,80103
Brazil,BRA,500149,750470,969161,1218233,1531491,1557293,1612860
British Virgin Islands,VGB,3094,4242,5430,5869,4517,4590,4674
Brunei,BRN,26323,35052,44796,44811,45420,44992,45458
Bulgaria,BGR,617155,653122,690700,909442,1127247,1166722,1291630
Burkina Faso,BFA,1018868,1213662,1234174,1312349,1387884,1451286,1472712
Burundi,BDI,337199,543908,738397,616738,281111,378702,435630
Cambodia,KHM,354608,417399,458419,672542,952002,1034848,1064840
Cameroon,CMR,115311,136161,161419,217615,278383,325831,333316
Canada,CAN,997144,1067801,1146883,1187046,1268970,1313217,1359585
Cayman Islands,CYM,373,803,1259,1268,1238,1230,1281
Central African Republic,CAF,46240,49087,55328,131192,238620,692563,724669
Chad,TCD,336916,266971,205856,210019,198851,226437,246960
Chile,CHL,489955,495496,508455,539059,565682,611004,631832
China,CHN,4229860,4945376,5786954,7242306,8648885,9675209,9962058
Hong Kong SAR,HKG,551080,619848,688745,804649,959608,1030902,1066633
Macao SAR,MAC,95648,98093,101667,115397,130803,141162,144341
Colombia,COL,1009148,1216186,1434868,1880422,2518915,2671696,2736230
Comoros,COM,40076,51284,70493,96141,108558,115633,116574
Republic of the Congo,COG,91302,111094,129315,165547,195519,243502,254824
Cook Islands,COK,17488,17012,19501,19573,20567,21505,22249
Costa Rica,CRI,69724,85484,105797,118544,136721,138822,143465
Ivory Coast,CIV,370866,452575,540996,695065,782050,841241,832581
Croatia,HRV,426201,705471,874432,834830,861928,872057,916824
Cuba,CUB,835546,935377,1049902,1160652,1310867,1511294,1558312
